Fecha,site_id,Turbidez,Caudal,Nivel_Agua,Precipitacion,Temperatura,Conductividad,Oxigeno_Disuelto,pH,Turbidez_obs
2018-01-01,08180800,,64.14,5.02,0.0,,,,,
2018-01-02,08180800,,64.54,5.02,0.0,,,,,
2018-01-03,08180800,,66.64,5.04,0.0,,,,,
2018-01-04,08180800,,65.21,5.03,0.0,,,,,
2018-01-05,08180800,,64.63,5.02,0.0,,,,,
2018-01-06,08180800,,63.75,5.01,0.0,,,,,
2018-01-07,08180800,,65.5,5.03,0.0,,,,,
2018-01-08,08180800,,66.53,5.04,0.0,,,,,
2018-01-09,08180800,,66.34,5.04,0.0,,,,,
2018-01-10,08180800,,66.78,5.05,0.0,,,,,
2018-01-11,08180800,,66.12,5.04,0.0,,,,,
2018-01-12,08180800,,66.44,5.04,0.0,,,,,
2018-01-13,08180800,,65.07,5.03,0.0,,,,,
2018-01-14,08180800,,67.29,5.05,0.0,,,,,
2018-01-15,08180800,,63.43,5.01,2.8,,,,,
2018-01-16,08180800,,63.13,5.01,0.5,,,,,
2018-01-17,08180800,,65.21,5.03,0.0,,,,,
2018-01-18,08180800,,66.84,5.05,0.0,,,,,
2018-01-19,08180800,,66.03,5.04,1.8,,,,,
2018-01-20,08180800,,64.3,5.02,0.0,,,,,
2018-01-21,08180800,,65.65,5.03,0.0,,,,,
2018-01-22,08180800,,66.48,5.04,0.0,,,,,
2018-01-23,08180800,,65.62,5.03,0.0,,,,,
2018-01-24,08180800,,65.02,5.03,0.0,,,,,
2018-01-25,08180800,,63.95,5.01,0.0,,,,,
2018-01-26,08180800,,63.19,5.01,1.4,,,,,
2018-01-27,08180800,,64.64,5.02,0.6,,,,,
2018-01-28,08180800,,66.19,5.04,0.0,,,,,
2018-01-29,08180800,,67.31,5.05,0.0,,,,,
2018-01-30,08180800,,66.51,5.04,0.0,,,,,
2018-01-31,08180800,,64.31,5.02,0.0,,,,,
2018-02-01,08180800,,63.46,5.01,0.0,,,,,
2018-02-02,08180800,,61.95,4.99,0.6,,,,,
2018-02-03,08180800,,61.57,4.99,0.0,,,,,
2018-02-04,08180800,,63.02,5.0,0.0,,,,,
2018-02-05,08180800,,61.51,4.99,0.6,,,,,
2018-02-06,08180800,,61.22,4.98,1.3,,,,,
2018-02-07,08180800,,61.85,4.99,0.0,,,,,
2018-02-08,08180800,,61.18,4.98,0.0,,,,,
2018-02-09,08180800,,62.22,5.0,1.2,,,,,
2018-02-10,08180800,,62.93,5.0,0.0,,,,,
2018-02-11,08180800,,60.47,4.98,0.0,,,,,
2018-02-12,08180800,,60.6,4.98,0.0,,,,,
2018-02-13,08180800,,61.21,4.98,1.4,,,,,
2018-02-14,08180800,,62.39,5.0,0.4,,,,,
2018-02-15,08180800,,60.22,4.97,0.0,,,,,
2018-02-16,08180800,,61.18,4.98,0.0,,,,,
2018-02-17,08180800,,61.11,4.98,0.0,,,,,
2018-02-18,08180800,,60.86,4.98,0.0,,,,,
2018-02-19,08180800,,61.57,4.99,1.0,,,,,
2018-02-20,08180800,,62.36,5.0,0.7,,,,,
2018-02-21,08180800,,63.21,5.01,6.8,,,,,
2018-02-22,08180800,,64.27,5.02,43.8,,,,,
2018-02-23,08180800,,181.09,5.93,2.8,,,,,
2018-02-24,08180800,,170.44,5.96,0.9,,,,,
2018-02-25,08180800,,93.85,5.32,0.0,,,,,
2018-02-26,08180800,,80.9,5.19,0.3,,,,,
2018-02-27,08180800,,73.69,5.12,0.0,,,,,
2018-02-28,08180800,,70.79,5.09,0.0,,,,,
2018-03-01,08180800,,68.17,5.06,0.0,,,,,
2018-03-02,08180800,,64.65,5.02,0.0,,,,,
2018-03-03,08180800,,65.07,5.03,1.3,,,,,
2018-03-04,08180800,,65.38,5.03,0.0,,,,,
2018-03-05,08180800,,63.65,5.01,0.0,,,,,
2018-03-06,08180800,,62.79,5.0,0.0,,,,,
2018-03-07,08180800,,62.19,5.0,0.0,,,,,
2018-03-08,08180800,,60.72,4.98,0.0,,,,,
2018-03-09,08180800,,59.68,4.97,0.0,,,,,
