Fecha,site_id,Turbidez,Caudal,Nivel_Agua,Precipitacion,Temperatura,Conductividad,Oxigeno_Disuelto,pH,Turbidez_lag1,Caudal_lag1,Nivel_Agua_lag1,Precipitacion_lag1,Precipitacion_acum_3d,Precipitacion_acum_7d,Caudal_delta_1d,Nivel_delta_1d,mes,dia_anio_sin,dia_anio_cos,P95_Turbidez,Turbidez_t1_obs,high_turbidity_t1,periodo
2019-03-01,08180800,11.15,197.09,6.12,0.0,17.19,667.17,8.78,8.02,11.15,196.27,6.1,0.0,0.0,0.0,0.8199999999999932,0.020000000000000462,3,0.8584015232918917,0.512978386299228,48.325,11.15,0,Entrenamiento 2018-2024
2019-03-02,08180800,11.15,196.7,6.12,0.0,16.83,672.17,9.18,8.0,11.15,197.09,6.12,0.0,0.0,0.0,-0.3900000000000148,0.0,3,0.8670985522812081,0.4981366284784055,48.325,11.55,0,Entrenamiento 2018-2024
2019-03-03,08180800,11.55,194.92,6.1,0.0,16.8,673.1,9.19,8.01,11.15,196.7,6.12,0.0,0.0,0.0,-1.7800000000000011,-0.020000000000000462,3,0.8755389928586302,0.4831474640149687,48.325,10.82,0,Entrenamiento 2018-2024
2019-03-04,08180800,10.82,192.0,6.08,0.0,15.09,673.96,9.67,8.03,11.55,194.92,6.1,0.0,0.0,0.0,-2.9199999999999875,-0.019999999999999574,3,0.8837203473619977,0.4680153284438345,48.325,9.51,0,Entrenamiento 2018-2024
2019-03-05,08180800,9.51,191.74,6.08,0.0,13.42,675.08,10.49,8.1,10.82,192.0,6.08,0.0,0.0,0.0,-0.2599999999999909,0.0,3,0.8916401947968874,0.45274469960737107,48.325,8.46,0,Entrenamiento 2018-2024
2019-03-06,08180800,8.46,188.82,6.05,0.0,13.01,670.96,10.87,8.1,9.51,191.74,6.08,0.0,0.0,0.0,-2.920000000000016,-0.03000000000000025,3,0.8992961915530253,0.4373400963303323,48.325,8.8,0,Entrenamiento 2018-2024
2019-03-07,08180800,8.8,184.77,6.02,0.0,13.89,671.72,10.61,8.07,8.46,188.82,6.05,0.0,0.0,0.0,-4.049999999999983,-0.03000000000000025,3,0.9066860720977985,0.4218060770826634,48.325,9.74,0,Entrenamiento 2018-2024
2019-03-08,08180800,9.74,183.99,6.01,0.0,15.6,674.94,10.21,8.04,8.8,184.77,6.02,0.0,0.0,0.0,-0.7800000000000011,-0.009999999999999787,3,0.9138076496466615,0.40614723863057883,48.325,9.66,0,Entrenamiento 2018-2024
2019-03-09,08180800,9.66,183.98,6.01,0.0,17.76,674.94,9.89,8.05,9.74,183.99,6.01,0.0,0.0,0.0,-0.010000000000019327,0.0,3,0.9206588168102428,0.3903682146763026,48.325,9.63,0,Entrenamiento 2018-2024
2019-03-10,08180800,9.63,182.52,6.0,0.0,18.93,670.84,9.28,8.03,9.66,183.98,6.01,0.0,0.0,0.0,-1.4599999999999795,-0.009999999999999787,3,0.9272375462179537,0.374473674486883,48.325,11.17,0,Entrenamiento 2018-2024
2019-03-11,08180800,11.17,182.27,5.99,0.5,19.39,672.83,8.76,7.99,9.63,182.52,6.0,0.0,0.5000000000000138,0.5,-0.25,-0.009999999999999787,3,0.9335418911179212,0.35846832151248087,48.325,15.01,0,Entrenamiento 2018-2024
2019-03-12,08180800,15.01,181.81,5.99,0.0,19.25,677.32,8.84,8.02,11.17,182.27,5.99,0.5,0.5000000000000138,0.5,-0.46000000000000796,0.0,3,0.9395699859530622,0.342356891994542,48.325,12.18,0,Entrenamiento 2018-2024
2019-03-13,08180800,12.18,183.21,6.0,0.9,20.27,681.56,8.87,8.04,15.01,181.81,5.99,0.0,1.4000000000000137,1.4,1.4000000000000057,0.009999999999999787,3,0.945320046913132,0.3261441535642696,48.325,10.99,0,Entrenamiento 2018-2024
